K,Dimension,Number of Points,Time,Distribution
5,2,409600,2.206e-07,Uniform
6,2,409600,0.000330519,Uniform
7,2,409600,3.398e-07,Uniform
8,2,409600,2.299e-07,Uniform
9,2,409600,0.000113965,Uniform
10,2,409600,2.063e-07,Uniform
11,2,409600,2.59e-07,Uniform
1,2,819200,0.000632206,Uniform
2,2,819200,2.468e-07,Uniform
3,2,819200,1.74842e-05,Uniform
4,2,819200,2.461e-07,Uniform
5,2,819200,2.364e-07,Uniform
6,2,819200,0.000104814,Uniform
7,2,819200,0.000109745,Uniform
8,2,819200,2.2e-07,Uniform
9,2,819200,2.405e-07,Uniform
10,2,819200,0.000944599,Uniform
11,2,819200,0.000137093,Uniform
1,2,50,1.771e-07,Gaussian
2,2,50,1.289e-07,Gaussian
3,2,50,1.248e-07,Gaussian
4,2,50,1.267e-07,Gaussian
5,2,50,1.272e-07,Gaussian
6,2,50,1.257e-07,Gaussian
7,2,50,1.242e-07,Gaussian
8,2,50,1.259e-07,Gaussian
9,2,50,1.293e-07,Gaussian
10,2,50,1.258e-07,Gaussian
11,2,50,1.24e-07,Gaussian
1,2,100,1.251e-07,Gaussian
2,2,100,1.901e-07,Gaussian
3,2,100,1.72e-07,Gaussian
4,2,100,1.35e-07,Gaussian
5,2,100,1.251e-07,Gaussian
6,2,100,1.234e-07,Gaussian
7,2,100,1.258e-07,Gaussian
8,2,100,1.299e-07,Gaussian
9,2,100,1.242e-07,Gaussian
10,2,100,1.248e-07,Gaussian
11,2,100,1.256e-07,Gaussian
1,2,200,6.0986e-06,Gaussian
2,2,200,6.9584e-06,Gaussian
3,2,200,9.0863e-06,Gaussian
4,2,200,1.327e-07,Gaussian
5,2,200,1.265e-07,Gaussian
6,2,200,1.255e-07,Gaussian
7,2,200,1.259e-07,Gaussian
8,2,200,1.429e-07,Gaussian
9,2,200,1.277e-07,Gaussian
10,2,200,1.271e-07,Gaussian
11,2,200,1.273e-07,Gaussian
1,2,400,1.314e-07,Gaussian
2,2,400,1.445e-07,Gaussian
3,2,400,1.301e-07,Gaussian
4,2,400,1.419e-07,Gaussian
5,2,400,1.349e-07,Gaussian
6,2,400,1.287e-07,Gaussian
7,2,400,1.347e-07,Gaussian
8,2,400,1.579e-07,Gaussian
9,2,400,3.4589e-05,Gaussian
10,2,400,3.39981e-05,Gaussian
11,2,400,3.42313e-05,Gaussian
1,2,800,2.08873e-05,Gaussian
2,2,800,2.72699e-05,Gaussian
