K,Dimension,Number of Points,Time,Distribution
8,1,409600,0.0453393,Uniform
9,1,409600,0.0748614,Uniform
10,1,409600,0.0967596,Uniform
11,1,409600,0.124848,Uniform
1,1,819200,8.0883e-06,Uniform
2,1,819200,3.54496e-05,Uniform
3,1,819200,0.00019816,Uniform
4,1,819200,0.00104505,Uniform
5,1,819200,0.0038404,Uniform
6,1,819200,0.00998892,Uniform
7,1,819200,0.0244009,Uniform
8,1,819200,0.0541372,Uniform
9,1,819200,0.0941858,Uniform
10,1,819200,0.127898,Uniform
11,1,819200,0.173705,Uniform
1,1,50,2.2547e-06,Gaussian
2,1,50,4.6439e-06,Gaussian
3,1,50,9.0498e-06,Gaussian
4,1,50,1.45236e-05,Gaussian
5,1,50,1.78003e-05,Gaussian
6,1,50,1.85739e-05,Gaussian
7,1,50,1.86697e-05,Gaussian
8,1,50,1.94981e-05,Gaussian
9,1,50,2.03094e-05,Gaussian
10,1,50,2.03488e-05,Gaussian
11,1,50,2.03538e-05,Gaussian
1,1,100,2.4955e-06,Gaussian
2,1,100,5.2049e-06,Gaussian
3,1,100,9.5936e-06,Gaussian
4,1,100,1.61935e-05,Gaussian
5,1,100,2.45945e-05,Gaussian
6,1,100,2.31915e-05,Gaussian
7,1,100,2.40392e-05,Gaussian
8,1,100,2.60062e-05,Gaussian
9,1,100,2.68152e-05,Gaussian
10,1,100,2.71938e-05,Gaussian
11,1,100,2.75866e-05,Gaussian
1,1,200,2.7293e-06,Gaussian
2,1,200,6.4315e-06,Gaussian
3,1,200,1.43897e-05,Gaussian
4,1,200,2.89533e-05,Gaussian
5,1,200,4.22306e-05,Gaussian
6,1,200,4.85629e-05,Gaussian
7,1,200,5.32282e-05,Gaussian
8,1,200,5.75779e-05,Gaussian
9,1,200,7.48139e-05,Gaussian
10,1,200,5.9991e-05,Gaussian
11,1,200,6.04322e-05,Gaussian
1,1,400,3.0663e-06,Gaussian
2,1,400,9.016e-06,Gaussian
3,1,400,2.5491e-05,Gaussian
4,1,400,6.09242e-05,Gaussian
5,1,400,9.95475e-05,Gaussian
6,1,400,0.000120548,Gaussian
7,1,400,0.000140249,Gaussian
8,1,400,0.000157631,Gaussian
9,1,400,0.000161811,Gaussian
10,1,400,0.000161746,Gaussian
11,1,400,0.000163879,Gaussian
1,1,800,3.2832e-06,Gaussian
2,1,800,1.02157e-05,Gaussian
3,1,800,3.11496e-05,Gaussian
4,1,800,8.1675e-05,Gaussian
5,1,800,0.000145537,Gaussian
6,1,800,0.000189522,Gaussian
7,1,800,0.000237338,Gaussian
8,1,800,0.000281584,Gaussian
9,1,800,0.000295075,Gaussian
10,1,800,0.000293339,Gaussian
11,1,800,0.000294927,Gaussian
1,1,1600,3.6428e-06,Gaussian
2,1,1600,1.1906e-05,Gaussian
3,1,1600,3.96924e-05,Gaussian
4,1,1600,0.000118581,Gaussian
5,1,1600,0.000240211,Gaussian
6,1,1600,0.00033328,Gaussian
7,1,1600,0.000444408,Gaussian
8,1,1600,0.000552516,Gaussian
9,1,1600,0.000594307,Gaussian
10,1,1600,0.000580336,Gaussian
11,1,1600,0.000598133,Gaussian
1,1,3200,3.9506e-06,Gaussian
2,1,3200,1.36831e-05,Gaussian
3,1,3200,5.10383e-05,Gaussian
4,1,3200,0.000164871,Gaussian
5,1,3200,0.000356971,Gaussian
6,1,3200,0.000549728,Gaussian
7,1,3200,0.000799527,Gaussian
8,1,3200,0.00107873,Gaussian
9,1,3200,0.00120617,Gaussian
10,1,3200,0.0011938,Gaussian
11,1,3200,0.00122228,Gaussian
1,1,6400,4.5831e-06,Gaussian
2,1,6400,1.7188e-05,Gaussian
3,1,6400,6.96528e-05,Gaussian
4,1,6400,0.000246482,Gaussian
5,1,6400,0.000584275,Gaussian
6,1,6400,0.00096324,Gaussian
7,1,6400,0.001497,Gaussian
8,1,6400,0.00213432,Gaussian
9,1,6400,0.00248171,Gaussian
10,1,6400,0.00247288,Gaussian
11,1,6400,0.00258137,Gaussian
1,1,12800,4.318e-06,Gaussian
2,1,12800,1.34788e-05,Gaussian
3,1,12800,5.99493e-05,Gaussian
4,1,12800,0.000243273,Gaussian
5,1,12800,0.000746743,Gaussian
6,1,12800,0.00121592,Gaussian
7,1,12800,0.00211108,Gaussian
8,1,12800,0.00331012,Gaussian
9,1,12800,0.00416003,Gaussian
10,1,12800,0.00428625,Gaussian
11,1,12800,0.00459785,Gaussian
1,1,25600,4.9201e-06,Gaussian
2,1,25600,2.03994e-05,Gaussian
3,1,25600,8.97626e-05,Gaussian
4,1,25600,0.000379644,Gaussian
5,1,25600,0.00106589,Gaussian
6,1,25600,0.00216071,Gaussian
7,1,25600,0.00382471,Gaussian
8,1,25600,0.00629473,Gaussian
9,1,25600,0.00828485,Gaussian
10,1,25600,0.00884317,Gaussian
11,1,25600,0.00984045,Gaussian
1,1,51200,5.3857e-06,Gaussian
2,1,51200,2.16838e-05,Gaussian
3,1,51200,0.000114608,Gaussian
4,1,51200,0.000529518,Gaussian
5,1,51200,0.00162068,Gaussian
6,1,51200,0.00339223,Gaussian
7,1,51200,0.00668274,Gaussian
8,1,51200,0.0118081,Gaussian
9,1,51200,0.0164656,Gaussian
10,1,51200,0.0183697,Gaussian
11,1,51200,0.0209489,Gaussian
