K,Dimension,Number of Points,Time,Distribution
8,1,409600,0.0222024,Uniform
9,1,409600,0.0188684,Uniform
10,1,409600,0.0141699,Uniform
11,1,409600,0.0141007,Uniform
1,1,819200,0.0377072,Uniform
2,1,819200,0.032639,Uniform
3,1,819200,0.064898,Uniform
4,1,819200,0.0341632,Uniform
5,1,819200,0.0316988,Uniform
6,1,819200,0.0311982,Uniform
7,1,819200,0.0311373,Uniform
8,1,819200,0.0311293,Uniform
9,1,819200,0.0310926,Uniform
10,1,819200,0.0337825,Uniform
11,1,819200,0.0311125,Uniform
1,1,50,5.8021e-06,Gaussian
2,1,50,5.6968e-06,Gaussian
3,1,50,5.6554e-06,Gaussian
4,1,50,5.6571e-06,Gaussian
5,1,50,5.6515e-06,Gaussian
6,1,50,5.647e-06,Gaussian
7,1,50,5.6634e-06,Gaussian
8,1,50,5.6338e-06,Gaussian
9,1,50,5.6601e-06,Gaussian
10,1,50,5.6481e-06,Gaussian
11,1,50,5.6531e-06,Gaussian
1,1,100,1.09208e-05,Gaussian
2,1,100,7.6474e-06,Gaussian
3,1,100,7.623e-06,Gaussian
4,1,100,7.5872e-06,Gaussian
5,1,100,7.5962e-06,Gaussian
6,1,100,7.5772e-06,Gaussian
7,1,100,7.6117e-06,Gaussian
8,1,100,7.5696e-06,Gaussian
9,1,100,7.5976e-06,Gaussian
10,1,100,7.5917e-06,Gaussian
11,1,100,7.606e-06,Gaussian
1,1,200,1.68637e-05,Gaussian
2,1,200,1.67503e-05,Gaussian
3,1,200,1.67367e-05,Gaussian
4,1,200,1.67209e-05,Gaussian
5,1,200,1.66902e-05,Gaussian
6,1,200,1.67473e-05,Gaussian
7,1,200,1.67278e-05,Gaussian
8,1,200,1.67388e-05,Gaussian
9,1,200,1.67401e-05,Gaussian
10,1,200,1.67343e-05,Gaussian
11,1,200,1.67193e-05,Gaussian
1,1,400,2.24961e-05,Gaussian
2,1,400,2.24128e-05,Gaussian
3,1,400,2.23957e-05,Gaussian
4,1,400,2.24257e-05,Gaussian
5,1,400,2.24152e-05,Gaussian
6,1,400,2.23891e-05,Gaussian
7,1,400,2.24487e-05,Gaussian
8,1,400,2.23872e-05,Gaussian
9,1,400,2.23822e-05,Gaussian
10,1,400,2.24508e-05,Gaussian
11,1,400,2.23878e-05,Gaussian
1,1,800,5.56343e-05,Gaussian
2,1,800,5.678e-05,Gaussian
3,1,800,5.59373e-05,Gaussian
4,1,800,5.67422e-05,Gaussian
5,1,800,5.54526e-05,Gaussian
6,1,800,5.56061e-05,Gaussian
7,1,800,5.54979e-05,Gaussian
8,1,800,5.54877e-05,Gaussian
9,1,800,5.54643e-05,Gaussian
10,1,800,5.5499e-05,Gaussian
11,1,800,5.54994e-05,Gaussian
1,1,1600,0.000116314,Gaussian
2,1,1600,0.000116195,Gaussian
3,1,1600,0.000116045,Gaussian
4,1,1600,0.000116441,Gaussian
5,1,1600,0.000116287,Gaussian
6,1,1600,0.00011636,Gaussian
7,1,1600,0.000116062,Gaussian
8,1,1600,0.000117679,Gaussian
9,1,1600,0.000116218,Gaussian
10,1,1600,0.000119261,Gaussian
11,1,1600,0.000116392,Gaussian
1,1,3200,0.000222457,Gaussian
2,1,3200,0.000220883,Gaussian
3,1,3200,0.000220636,Gaussian
4,1,3200,0.00022114,Gaussian
5,1,3200,0.000222928,Gaussian
6,1,3200,0.00022121,Gaussian
7,1,3200,0.000220762,Gaussian
8,1,3200,0.00022085,Gaussian
9,1,3200,0.000222713,Gaussian
10,1,3200,0.000220608,Gaussian
11,1,3200,0.00022107,Gaussian
1,1,6400,0.000424249,Gaussian
2,1,6400,0.000421966,Gaussian
3,1,6400,0.000425407,Gaussian
4,1,6400,0.000421026,Gaussian
5,1,6400,0.000422412,Gaussian
6,1,6400,0.000420428,Gaussian
7,1,6400,0.000425658,Gaussian
8,1,6400,0.000419469,Gaussian
9,1,6400,0.000421163,Gaussian
10,1,6400,0.000420479,Gaussian
11,1,6400,0.000437309,Gaussian
1,1,12800,0.000943389,Gaussian
2,1,12800,0.000928968,Gaussian
3,1,12800,0.00092863,Gaussian
4,1,12800,0.000929159,Gaussian
5,1,12800,0.000941553,Gaussian
6,1,12800,0.000935653,Gaussian
7,1,12800,0.00093478,Gaussian
8,1,12800,0.000936444,Gaussian
9,1,12800,0.000932492,Gaussian
10,1,12800,0.000930559,Gaussian
11,1,12800,0.000932934,Gaussian
1,1,25600,0.00176107,Gaussian
2,1,25600,0.00175757,Gaussian
3,1,25600,0.00175738,Gaussian
4,1,25600,0.00175687,Gaussian
5,1,25600,0.00176155,Gaussian
6,1,25600,0.00175672,Gaussian
7,1,25600,0.00176075,Gaussian
8,1,25600,0.00176262,Gaussian
9,1,25600,0.00176373,Gaussian
10,1,25600,0.00176106,Gaussian
11,1,25600,0.00176337,Gaussian
1,1,51200,0.00336604,Gaussian
2,1,51200,0.00334444,Gaussian
3,1,51200,0.00335164,Gaussian
4,1,51200,0.00334907,Gaussian
5,1,51200,0.00335068,Gaussian
6,1,51200,0.00334806,Gaussian
7,1,51200,0.00334861,Gaussian
8,1,51200,0.00334213,Gaussian
9,1,51200,0.00340487,Gaussian
10,1,51200,0.00340001,Gaussian
11,1,51200,0.00347576,Gaussian
1,1,102400,0.00810102,Gaussian
2,1,102400,0.00789092,Gaussian
3,1,102400,0.00815321,Gaussian
4,1,102400,0.00811276,Gaussian
5,1,102400,0.0079808,Gaussian
6,1,102400,0.00799357,Gaussian
7,1,102400,0.00776393,Gaussian
8,1,102400,0.00786404,Gaussian
9,1,102400,0.00805759,Gaussian
10,1,102400,0.00801395,Gaussian
11,1,102400,0.00904631,Gaussian
1,1,204800,0.0154933,Gaussian
2,1,204800,0.0152342,Gaussian
3,1,204800,0.0151429,Gaussian
4,1,204800,0.0153935,Gaussian
5,1,204800,0.0164201,Gaussian
6,1,204800,0.0152056,Gaussian
7,1,204800,0.015484,Gaussian
8,1,204800,0.0154931,Gaussian
9,1,204800,0.015102,Gaussian
10,1,204800,0.0151401,Gaussian
11,1,204800,0.0159284,Gaussian
1,1,409600,0.028323,Gaussian
2,1,409600,0.0269253,Gaussian
3,1,409600,0.0266238,Gaussian
4,1,409600,0.0272105,Gaussian
5,1,409600,0.0264709,Gaussian
6,1,409600,0.0271925,Gaussian
7,1,409600,0.0268353,Gaussian
8,1,409600,0.0268579,Gaussian
9,1,409600,0.0269852,Gaussian
10,1,409600,0.0267203,Gaussian
11,1,409600,0.0265252,Gaussian
1,1,819200,0.0624308,Gaussian
2,1,819200,0.0609394,Gaussian
3,1,819200,0.0620825,Gaussian
4,1,819200,0.0613999,Gaussian
5,1,819200,0.0619646,Gaussian
6,1,819200,0.0658234,Gaussian
7,1,819200,0.062606,Gaussian
8,1,819200,0.0624334,Gaussian
9,1,819200,0.0626766,Gaussian
10,1,819200,0.0613465,Gaussian
11,1,819200,0.0610636,Gaussian
1,2,50,4.778e-06,Uniform
2,2,50,4.4333e-06,Uniform
3,2,50,8.5733e-06,Uniform
4,2,50,1.00726e-05,Uniform
5,2,50,1.00594e-05,Uniform
6,2,50,1.00482e-05,Uniform
7,2,50,1.58937e-05,Uniform
8,2,50,1.98836e-05,Uniform
9,2,50,1.99087e-05,Uniform
10,2,50,1.99168e-05,Uniform
11,2,50,1.99638e-05,Uniform
1,2,100,4.9216e-06,Uniform
2,2,100,4.8861e-06,Uniform
3,2,100,4.875e-06,Uniform
